"Data Source","World Development Indicators",

"Last Updated Date","2021-07-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Armenia","ARM","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7651598557727","","7.65372297215671","13.4938256902999","22.6316832558336","13.4156622588404","13.8862195542516","12.3838069317306","13.3613635427771","11.4742593097946","7.92290592006435","18.5513892308046","18.8589645039774","16.1764021073502","18.0828120365256","24.3514771216801","28.4375545824898","29.7812614026326","28.7269515841652","30.8370164911476","30.5178351511042","30.1677089812262","31.6981243529953","",
"American Samoa","ASM","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","1.4931423444832","1.6225931559801","3.03464023819708","","36.0673242360036","17.4507231479952","","","8.70119480224155","","","","","","","","","","","","","","","","","","16.5340830393743","27.2273694026825","","","","","18.679498229766","","37.9702388092215","","48.3050837693822","50.654320061777","58.689528949777","56.8403419695816","37.7938963457954","25.6778831813873","52.1045892042161","54.7812207065544","52.2717323901558","42.7533388162064","77.9266050674273","",
"Australia","AUS","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","39.8346474957375","39.7859421982777","39.5769854203446","36.3553638686411","41.3669043112733","34.0922913925492","32.8049835924639","34.013536231507","38.3387630373528","36.9111571644683","31.9349827916758","34.5433057090814","35.6423023743124","32.6953222064549","31.7595902340097","29.4919537078208","33.7723574644005","34.4300931973302","30.9855820389911","30.6341723630904","25.0187660648647","28.6704877205042","24.8343781512626","27.3465803253478","24.1812089474581","20.9359104586469","22.3074888773581","21.1184923002457","19.4567024709607","20.2839560279395","22.4197828929998","23.0716504200323","20.5204322955242","23.096554089928","22.9599301473084","20.2460021888008","23.0979399459233","19.7329920353743","20.5933416064631","20.7996640502923","18.2709640627415","20.7204182561256","16.1321568548701","14.5343437897045","12.6320405849921","11.5441901491415","12.9946108080878","10.5858044414759","10.8752765627745","11.9823389130914","12.4049154539791","13.3019483994184","16.1915204538553","14.6721387780092","13.6692292413532","11.8402229798837","11.0735748628275","",
"Austria","AUT","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","5.55781488093198","4.69559480990127","5.4531837262518","4.7554754434059","5.8710417287511","4.73277952629499","4.57743460422446","4.67164343769715","4.84058091540926","5.5024273751552","4.52598246008905","3.82796689392966","4.15453979452601","4.26249422624998","3.75838172165734","4.03132730504573","4.0128101005826","4.15833292245852","4.39259879575785","4.66041372594959","4.56361799636398","4.65975540150534","4.28411957791563","3.88330017334415","3.47037411817569","3.49970099243237","3.68443382845117","3.31911497770665","3.25565456851624","3.34045816521263","3.51476245526176","3.75473319072651","3.84395972964709","4.51005914147522","4.76792377779912","4.80780358727842","5.42321942407299","4.72534827227104","5.12483610701989","5.28783781737682","5.98414338204417","5.82457676525111","6.16984880198757","6.03593553988264","6.17155630750584","6.53563169944003","7.32854480187725","6.87266733805575","6.91374307049488","7.172426284122","7.38679605487335","7.40850837587826","7.46235406299573","7.71425129855097","7.63765887171193","7.46947466808198","7.79821166892877","",
"Azerbaijan","AZE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.37136768529811","6.92296832032364","7.50717710800822","6.29239648199638","3.16351770544605","2.31306992924409","3.02939208280151","4.84056698161315","4.25926378095469","7.47941699098115","5.02906629697011","8.3376881551188","1.1111042456426","3.5728574185602","2.78351998201325","2.69659868503389","3.47769507187042","3.6492913291811","3.82234651631544","6.0566620985011","3.8929690690574","4.27292185995285","3.59606858400833","","",
"Burundi","BDI","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","75.273836479008","","","","","","","","","88.3748663755586","91.6414139768823","93.254353035102","","","","","","","","","","","","","","","","","30.2292572732904","51.1636033521949","59.8372339244102","66.3733622044748","98.2962321234812","99.1127796322039","70.1175266726928","85.8219477229024","74.7387313359193","81.4536107020982","45.0800199213349","44.0615789896583","45.1207269470412","31.1809369760396","35.045649554702","36.9371361526208","50.1777742511627","72.4468146312641","50.1648189055865","37.4885194032586","26.598156850606","59.1465423239044","63.5539616543992","66.2355736942558","59.997950954705","55.0003316087537","44.6045880270135","",
"Belgium","BEL","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","6.04277474399065","6.89017015478183","6.17028867656039","7.07277255877036","7.15954598481563","8.24856142663308","8.18505204639056","8.06017177555525","8.38885798826004","9.2860270271655","9.58089342986154","9.62255562335909","8.8627966503426","10.0989710987626","9.4890103031989","9.65807510842093","9.54916799875522","9.26815047874059","9.38537077443856","10.7379708667016","11.0195671973451","10.1765527058137","10.8690535533175","10.2724320536213","10.2365592186664","10.2602182700758","","","","","","","","","","","","10.0399494993009","8.91653478703759","9.17188242023965","8.55740326154138","8.69334243716118","8.32979420951883","8.05974159644903","7.80436164794129","7.94673220964044","8.58664412924345","9.62482530357428","8.84668822750683","8.82315638469053","9.18940847733582","9.09484850048561","9.37470764270446","9.6635701010341","10.1554428377909","10.1461639234562","9.67313671797007","9.83442132944892","",
"Benin","BEN","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","93.327550081991","89.5890052280226","93.2980268413284","88.6608591885794","76.6175858561168","67.7561867507699","74.3629879786611","73.8017051023553","70.9091825252553","74.3083705440573","62.0716460230046","61.2489260887434","43.359276070646","","","","","70.7011533736054","61.8226895530177","","35.9555892157304","","","","","","","","","","","","","","","","15.3057855760866","16.1083315409964","20.0528508768833","19.0624038417329","30.9589519745319","18.5907825318844","18.332911787217","25.8985192888046","39.3160841942934","38.0416297041752","30.1095077502565","49.2970151838307","67.5990369430592","38.0634238305646","40.3415909890541","36.9454704657028","29.8589217930345","22.6841646310689","33.4302314831756","29.8023200246565","37.0948193725964","26.3474291724116","",
"Burkina Faso","BFA","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","84.4012354097883","75.7122648537846","76.101880109687","83.3204750233262","81.4872399192138","74.8558711505093","76.5969475493508","65.392292896867","67.8855504205305","72.6381904829245","67.898657761854","67.8797755892115","71.855210451029","74.8242613924562","45.2488504546714","51.0987490435554","55.5304757486698","49.089707024862","41.3274111420831","39.8825278825877","40.8537927678045","33.4974160582261","","","","","","","","","","","","22.5376782807586","18.8024090377865","15.4522704380641","15.8388440130562","15.8513752539241","18.7685630684954","21.3539699993842","19.4428911914734","18.5598169338571","18.4078597372363","16.3674968047749","","23.5611753845197","24.6398337213184","13.9914754619437","10.4706775358579","8.68811033392305","8.14123360087131","12.5337587962682","11.7840144624125","16.8408813729243","12.8766421936463","13.2152193450288","14.5432954720317","9.89393114523868","",
"Bangladesh","BGD","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","13.0466082591986","13.682972008726","12.721089004775","12.4512643375286","15.6958712890363","19.970054937077","19.2818386551984","17.9833288464203","17.9185228344897","20.1958493243101","18.6408188549024","","17.885666971444","14.3318908401949","12.6443668272252","11.0308885097812","11.8412193444076","13.6091841817934","10.4488155205505","10.0919399058308","8.36005793473836","7.22967218283357","","7.61291665750379","6.06966941597294","6.82145396379277","5.78812281014859","6.18429964017595","6.22182176823361","5.92828842730961","6.51994536456121","4.81908049937602","3.6948870908895","4.02974910211919","3.85995640005219","2.6439933995634","3.9502046768759","","2.70599278676995","","","","","",
"Bulgaria","BGR","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0976481995934","13.6333564721793","15.0285391780459","15.2732454171347","9.81157846134688","9.62336004765464","12.1290633033382","10.1597906408755","10.4156798737148","10.4891474418232","8.57102960330437","8.64151971312577","12.4151300996716","16.617378156673","16.0696107649984","15.5350352324734","15.3308529659739","17.585421854982","16.1210391113196","15.5056712786887","16.6825842253148","14.6093426574202","14.6884045643776","15.6613905162205","",
"Bahrain","BHR","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","5.22919530470648","3.51976453426907","3.93460109150994","4.19611244969906","2.05046494454718","1.51149999743461","1.68170581771421","1.47388331156984","1.23719245806845","3.14346284693357","8.73438288568948","1.28493243784552","1.90803705995412","0.997902517189235","1.00372310568035","0.949265109699448","1.15349898050248","1.09329584895597","","","","","","","1.98916993695607","2.41019203635101","5.69335841306155","","","","0.637048360183334","0.607900146508297","0.631869078270411","0.716924733585394","0.550728763595194","0.437185084798505","0.368366737292636","0.383930408792423","2.05782502610849","3.42634935818297","1.85127993090966","1.69087475087006","2.59250907475178","3.93128226092687","2.33100665445389","2.8177190975297","3.2719712018198","3.45574446239019","3.41910883423219","","",
"Bahamas, The","BHS","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","1.82818980901873","1.60660232433042","1.91164760001034","","","","0.681927116500522","1.42602960111996","2.19669263705468","1.39164648739183","2.46843380310754","4.37261152178241","5.23939033063881","6.02768875358885","","","","","","","","","","69.558291203307","60.9904779993233","61.3992633648465","49.4281028721858","52.6657726456152","57.4053506810893","55.6620392908941","50.2385175518797","35.128868037723","34.3062877689831","28.4346303638808","30.8829702121969","20.1351956405674","25.1472707538574","23.5093362725831","24.3746103066396","25.173494542978","20.123751916834","28.3012610920937","18.691982885991","18.2280212008699","16.0964870868668","","",
"Bosnia and Herzegovina","BIH","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.54806409946549","4.38171643800732","5.77060067629833","4.93242033641662","5.39239257157692","5.97800459677872","7.69296403605785","7.32414855052787","6.8195959891315","7.43034707981667","7.47114364100799","7.02059191929485","8.53679464029818","9.35112470056163","9.09401431525514","6.9058228132774","6.89965615081567","",
"Belarus","BLR","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.5243620082277","7.46625753820725","6.75194129524807","8.01083906303938","7.67726787178316","8.26326575107411","8.34876875873583","8.25631331486834","7.48674089092106","7.25797730395625","6.73737093896169","10.694124154428","12.6196411003409","9.15429446892938","9.81015301042001","14.3788977347233","14.7809314189583","15.6383743097336","17.0609160855354","16.5070506392958","14.963909864886","16.1908180319792","",
